AVG_CPHL,AVG_DOX,AVG_PSAL,AVG_TEMP,bathymetry,BOT_CPHL,BOT_DOX,BOT_PSAL,BOT_TEMP,SUR_CPHL,SUR_DOX,SUR_PSAL,SUR_TEMP
0.039198086,234.1771393,38.83145905,14.95001602,-7.276116848,0.005139484,214.3751984,38.81975555,14.15662003,0.043801907,228.2510071,38.77896881,16.45991516
0.039200917,234.1832886,38.83145142,14.94956398,-1.977054,0.005141778,214.3791199,38.81975174,14.1568346,0.043798275,228.240509,38.77896881,16.4507885
0.039176352,234.1739655,38.83147812,14.9516058,0.553999484,0.005138542,214.3713989,38.81977081,14.15642262,0.043772351,228.2798462,38.778759,16.4759655
0.039165325,234.1645813,38.83151245,14.95196438,-2.378401995,0.005135256,214.3622894,38.81978989,14.15573883,0.043774273,228.3082123,38.77922821,16.50354004
0.039153069,234.1715393,38.83155441,14.95047092,-5.050442219,0.005138827,214.3589783,38.81981277,14.15505409,0.04376414,228.3275299,38.78043747,16.52828598
0.039144468,234.1582794,38.8315773,14.95119572,-6.523546696,0.005133944,214.3489227,38.81982422,14.15440559,0.043771692,228.3553925,38.78070068,16.55458069
0.039151821,234.174942,38.83156586,14.94961929,-8.158041954,0.005140486,214.3583984,38.8198204,14.1548214,0.043764845,228.330368,38.78094101,16.5352459
0.039165523,234.1690521,38.8315239,14.95080566,-3.732300282,0.005137336,214.3619537,38.8197937,14.15547752,0.043777276,228.3091125,38.77985764,16.51049995
0.039183091,234.1678619,38.8314743,14.95171452,0.633089662,0.005135877,214.3692474,38.819767,14.15638351,0.043787949,228.2767181,38.77865982,16.47545624
0.03919204,234.1638184,38.83146667,14.95125675,-2.11400938,0.005134367,214.3675385,38.81975937,14.15627098,0.043807488,228.2717133,38.77879333,16.47601891
0.039195109,234.1977234,38.83148193,14.94717407,-7.46943903,0.005148519,214.3804932,38.81977081,14.15635109,0.043789972,228.2456818,38.78029251,16.46525574
0.039197914,234.2107697,38.83148193,14.9457159,-9.308299065,0.00515381,214.3863068,38.81977463,14.15648556,0.043783754,228.232193,38.78073883,16.45723534
0.039199829,234.1990204,38.83146667,14.94728851,-4.777135372,0.005148648,214.383194,38.81976318,14.15662479,0.043791186,228.2351532,38.78001022,16.45448875
0.039201446,234.1725769,38.8314476,14.9506588,-0.957989514,0.005137254,214.3748322,38.81974792,14.15677738,0.043806918,228.2474213,38.7785759,16.45448685
0.039168462,234.1609802,38.83149338,14.95292568,-0.249414504,0.005133571,214.363678,38.81977844,14.15606308,0.043774899,228.3025055,38.77858353,16.49311256
0.03916325,234.1740875,38.83151245,14.95124149,-7.481551647,0.005139211,214.3664093,38.8197937,14.15584278,0.043762855,228.3029633,38.77946472,16.49930382
0.039153516,234.168457,38.83154297,14.95122337,-11.42661572,0.005137401,214.3592377,38.81980896,14.15523148,0.043763071,228.326355,38.78001404,16.52330971
0.039143648,234.1595001,38.83157349,14.95141888,-14.73768806,0.005134299,214.3502808,38.81982422,14.15453815,0.04376683,228.3533478,38.78053665,16.55059624
0.039138567,234.147644,38.83159256,14.95209217,-16.3522892,0.005129818,214.3421478,38.81983185,14.15405464,0.043775879,228.3739166,38.78066635,16.57004547
0.039147057,234.1659393,38.8315773,14.95031166,-16.69558907,0.005137017,214.3525391,38.81982422,14.15450478,0.04376917,228.3460846,38.78094864,16.54883575
0.039159864,234.1592712,38.83153915,14.95148373,-8.039658546,0.005133627,214.3551941,38.81980133,14.15508556,0.043782193,228.3274994,38.77993011,16.52696609
0.039175991,234.154953,38.83149338,14.95257282,-1.301549315,0.005130999,214.360321,38.81977463,14.15585995,0.043795161,228.3007507,38.77877045,16.49721718
0.039185964,234.1455841,38.83147049,14.95346546,-2.309108257,0.005126867,214.3592682,38.81975937,14.15608978,0.043812506,228.2925262,38.77813339,16.48789597
0.039187763,234.1730194,38.83149338,14.94962502,-13.77959633,0.005138644,214.3678589,38.81977463,14.1559,0.043802552,228.2763977,38.77973175,16.48735619
0.039189328,234.2015381,38.83150864,14.94588661,-18.60581398,0.005150766,214.3775024,38.81978989,14.15580177,0.043789614,228.2583313,38.78123856,16.48384857
0.039192524,234.215744,38.83151245,14.94418526,-15.92170525,0.005156592,214.3835297,38.81978989,14.15590286,0.043783996,228.2442474,38.7817955,16.47643852
0.039195899,234.2011719,38.83149338,14.94622612,-8.922100067,0.005150105,214.380249,38.81977844,14.15614891,0.043793358,228.2456818,38.78079224,16.47038651
0.039201215,234.1787262,38.83145523,14.94965076,-5.314365387,0.005139949,214.3760986,38.81975174,14.1566515,0.043805376,228.2457123,38.77906036,16.45716476
0.039202459,234.1413269,38.83142853,14.95440006,1.71381104,0.005123938,214.3639374,38.81973267,14.15682507,0.043826781,228.2649536,38.77707672,16.45892525
0.039148528,234.1668549,38.83154297,14.95192051,-8.752948761,0.005136916,214.3588409,38.81980896,14.15527725,0.043754935,228.3326569,38.77976227,16.52451897
